"Location ID",Area
415925,"near Malar Hospital, Adyar"
1366,"near Jehangir Hospital and Medical Science"
1526,"on Bowring Hospital Road"
1630,"near Calcutta Medical College and Hospital or Eden Hospital"
1874,"American Hospital"
2308,"Government Hospital"
2370,"SMS Hospital"
2412,"Mayo Hospital Road"
3096,"Marble City Hospital"
3108,"Bowring Hospital Road"
3294,"G.H. Hospital"
3592,"Behind Apollo Cancer Hospital"
3706,"Patil Hospital"
4028,"Ideally located Opp. to CMC Hospital"
4832,"JA Goverment Hospital"
4968,"Jalakshmipuram( B.M. hospital Hunsur road)"
5062,"NEAR FORTIS HOSPITAL"
5254,"Near S R Hospital"
5392,"Doctors Street, Civil Hospital Road"
5732,"Opp.Shanti Manglick Hospital"
5840,"Near VS Hospital"
13376,"Hospitality Inn"
13524,"Daffodil Hospitality Domlur"
13530,"Daffodil Hospitality Whitefield"
14226,"Vai Hospitality INC Guest House Airport Road"
16986,"Near G.T. Hospital"
17616,"Opp to Vinothakan Hospital"
18204,"Near S.K. Sony Hospital"
19024,"Near Vijaya Hospital"
19064,"Near Bharath Cancer Hospital"
19704,"(Adjacent road to CP Ramaswamy Road, Next to Ramachandra 24hrs Hospital)"
20492,"Opp. Fortis-Escorts Hospital"
20690,"Amigo Hospitality"
20696,"Opp Mukund Nagar Hospital,"
20982,"Mayo Hospital Road(near railway station)"
21092,"Hrudayalaya Hospital"
21094,"Near Jayadeva Hospital"
23471,"opp. to Bharathiraja hospital,T.Nagar"
23487,"Near W.C.F. Hospital,T.Nagar"
23591,"Near BRS Hospital"
23615,"Near Balaji Hospital"
23653,"Marol Pipeline Road,Opp Mukund Nagar Hospital."
23931,"Near Fortis Hospital"
24321,"Near TMS Hospital"
24527,"Opposite Bhaskara Hospital"
24529,"Near Medwin Hospital Abids"
54269,"Besides Mahavir Hospital"
115611,"Opposite Singal Hospital"
127269,"Opposite-Ramaiah Hospital"
127389,"near Ashoka hospital"
127567,"opp Vkm Hospital"
161773,C.S.I.Hospital(Way)
161807,"Opp to SRC Hospital Brough Road"
161811,"MS ramaiya Hospital"
161831,"opp. Vkm Hospital"
169261,"Opp Mallige Hospital"
175955,"near Christian Medical College and hospital"
286037,"Opp to Jessaram Hospital"
289801,"Opp. Ganga Hospital"
318203,"Near by Kmch Hospital"
329903,"Near-Suguna Hospital,Rajaji Nagar"
337671,"Near Visakha Eye Hospital"
338657,"Opposite to Dr.Agarwal hospital"
352117,"Near Appollo Hospital"
354023,"Near columbia Asia Hospital"
356871,"Opp. P.V.S. Hospital"
358777,"Near Nimhans Hospital"
370315,"Opp to Jalma Hospital"
371289,"Very Near to Arrupadai Veedu medical college & Hospital"
387777,"Sahara Hospital"
387781,"2 Km from Expo Mart,behind Sharda Hospital"
392589,"Niloufer Hospital Road"
392593,"Beside Shravana Hospital"
404161,"Shri Venkateshwara Hospitality Serviced Apartment"
406079,"Sidds Hospitality Hotel"
413737,"Near Seven Hills Hospital,Andheri (East)"
414883,"MIOT Hospital"
414887,"Appollo Hospital – Greams Road"
417973,"Eclair Hospitality Serviced Apartment"
419883,"Beehive Hospitality Serviced Apartment"
534458,"Near Kailash Hospital"
534414,"Near Fathima Hospital"
534292,"Four Sight Hospitality Management"
534156,"Near Chitaranzan Hospital"
534040,"Near Athiyandal Hospital "
533776,"Near Dwarkadish Hospital"
533768,"K.M.C.H Hospital"
533724,"Fathima Hospital"
533674,"Government Hospital"
533660,"7 Hill Hospital"
533318,"Near Galli Hospital"
533314,"Near Athiyandal Hospital "
533312," Near Vijay Hospital"
533276,"Apex Hospital"
424693,"Behind Eye Foundation Hospital"
533060,"Government Hospital"
533006,"Near Rohini Hospital"
532876,"Cradle Inn Hospitality"
532790,"Behind Fortis Hospital"
532782,"Near Dr. Keshubhai Eye Hospital"
532780,"Shaya Hospital"
532744,"Opp. 21st Century Hospital"
532506,"Sterling Hospital"
532480,"Sal Hospital"
532292,"Opposite Civil Hospital"
532266,"Near Doon Hospital"
532242,"Sterling Hospital"
532236,"Hospital Road "
532188,"Near Bombay Hospital"
532184,"Sal Hospital"
532176,"Opposite M J Hospital"
427601,"Near Hinduja Hospital Mahim "
531994,"Rick Hospitality And Resorts Pvt .Ltd"
531964,"Rainbow Hospitality Serviced Apartment(AS)"
531558,"Near Gknm Hospital, Opposite The Grand Regend Hotel"
531448,"Mascote Hospitality(AS)"
531266,"Opp. Lane Jessa Ram Hospital"
531262,"In Front Of Govt Hospital"
531230,"Near Fortis Hospital "
531182,"Near Fortis Hospital"
531162,"Near Sivashakthi Hospital"
531138,"Near Vivekanand Poly Hospital"
530940,"Near Surya hospital"
530938,"Nr Fortis Hospital"
530936,"Near 21st Century Hospital"
530648,"Opp Jessa Ram Hospital"
530596,"Opp.Apollo Hospital"
530160,"Opp to Jupiter Hospital"
530152,"Near Apollo Hospital"
530142,"Opposite Paras Hospital"
529882,"Aims Hospital"
529852,"Near HDFC Bank, Opposite Chodankar Hospital "
529614,"Behind Apollo Hospital"
529612,"Opp Seven Hills Hospital"
529006,"Seven Hills Hospital"
528928,"Near Aims Hospital"
528926,"Near Nimanhans Hospital and christ college"
528530,"Opp. St. George Hospital Near C.S.T.,"
528518,"Near Nagri Hospital"
528508,"nr. longlife hospital"
528396,"Near Samarpan Hospital"
528156,"Opp. Kilpauk Medical College Hospital"
527846,"Near Sushrut Hospital Maldhakka Road"
527826,"Beside surya hospital "
527814,"Behind S.M.Hospital"
527810,"Opp. ESI Hospital"
527586,"Near Upaddhyay Hospital"
527556,"Near Escorts Hospital"
527336,"Near Apollo Hospital"
527116,"Near Civil Hospital,Near Deluxe Bus Stand"
527114,"Opp. Apollo Hospital"
526622,"Near GH Hospital"
526342,"West Side Hospital"
526328,"Opposite Nims Hospital"
525837,"Near Ruby Hospital"
525493,"Opp. Sigma Hospital "
526672,"Near Sammukh Hospital"
526648,"Near New Hope Indian Hospital"
443589,"Opp .Apollo Hospital"
524727,"Opp Bharath Cancer Hospital"
524667,"Near Jessa Ram Hospital"
524553,"Near Maharani Hospital"
524545,"Near Nagji Hospital"
524317,"Beside Surya Hospital."
524271,"Near Ankelsharia Hospital, Opp. Electricity House"
523943,"Opp Calcutta Hospital"
523935,"Near Railway Station, Opp Meyo Hospital"
523929,"Near B.M Hospital"
523923,"Near E S I Hospital"
523695,"Near St Joseph hospital"
523451,"Near Govt Hospital"
523449,"Infront Of Harmain Hospital"
522823,"Near Naveen City hospital"
522809,"Beside Yashoda Hospital"
522799,"Near MMM Hospital,Anna Nagar West"
522659,"Next to Modern Hospital"
522441,"Beside E N T Hospital"
522231,"Near Civil Hospital"
521605,"Near Ankelsharia Hospital, Opp. Electricity House"
520925,"Near General Hospital"
520921," opp. Vkm Hospital"
520667,"Near Government Hospital"
520657,"Near Sukhmani Hospital"
520627," Opp. Jeesa Ram Hospital"
519859," Near narhari hospital"
519855,"Vinod Baug, Opposite Ashutosh Hospital"
519853,"Near PBM Hospital"
519331,"Near sugampriya hospital"
519311,"Nr brws hospital"
519043,"Near Shi Ram Hospital"
456571,"Behind Childrens Hospital"
518487,"Near Global Hospital"
517807,"Near Nims Hospital"
516625,"Adjacent to Apollo Hospital"
516379,"Opposite Veterinary Hospital"
516365,"Near Morden Hospital "
516029,"Next to Manipal Hospital"
516025,"Behind Nandhini Restaurant in ESI Hospital Road"
516009,"near Mahaveer Jain Hospital"
515695,"Near KEM Hospital and Ashoka Rest. Next to Corporation Bank"
515637,"Near Sukhmani Hospital,"
515533,"Kuber Hospitality"
515347,"Near Pushpanjali Hospital"
515041,"Near Malik Hospital, Delhi Gate"
514393,"Opposite Dr. Hardia eye hospital"
514359,"Opp. Bombay Hospital"
514329,"Next to Anandmayi Hospital "
514021,"Near General Hospital"
514011,"Opposite District Government Hospital Camp"
513769,"No : 23,Hospital Road"
513749,"Opposite Civil Hospital"
513719,"near Sanmukh Hospital"
513703,"Nr sahkari jin char rasta, Opp-Medistar Hospital"
513533,"Opp Ozon Hospital"
513121,"Near Dr. Zantye hospital"
512201,"Near Sahyog Hospital"
473243,"Opp Govt Hospital"
511247,"\
\
\
\
Near Desai Hospital"
510567,"Near Appollo Hospital"
510545,"Near K.E.M. Hospital"
509769,"Near Sancheti Hospital"
509521,"Near Sumangalam Hospital,"
480461,"Opp. V S Hospital"
480509,"Vellore Ho,Near CMC Mental Hospital"
508603,"Near Kalyani Hospital, Government Girls College"
508585,"Nr Pushpanjalai Hospital"
508571,"Near Medicity Hospital, Opp Mcg Office"
508309,"Opp. Rajasthan Hospital,"
508307,"near cims hospital"
508299,"Opp. V S Hospital"
508253,"Near VS Hospital"
508199,"Venkata Padma Mother & Child Hospital"
508195,"Sri Sai Super Speciality Hospital"
508191,"Visakha Hospital"
508189,"Visakha ENT Hospital"
508187,"Surya Hospital"
508185,"Pallavi Hospital"
508183,"Anupama Surgical and Children Hospital"
508181,"Waltair Multicare Hospital"
508179,"Visakha Eye Hospital"
508177,"Vijaya Hospital"
508175,"Venkatrama Hospital"
508173,"St Joseph,s Hospital"
508171,"SR Hospital"
508169,"Simhadri Hospital"
508165,"Seven Hills Hospital"
508163,"RK Hospital"
508161,"Rhea Hospital"
508159,"Queen,s NRI Hospital"
508151,"Lazarus Hospitals Ltd"
508149,"Kanakadurga Hospitals Pvt Ltd"
508147,"Kala Hospitals Pvt. Ltd"
508145,"CDR Hospital"
508143,"Care Hospital (Vizag)"
508141,"Bharathi Hospital"
508139,"Apoorva Hospital"
508135,"Annapoorna Hospital"
508129,"A.N.Beach Hospital"
508127,"Nikitha Hospital"
508125,"VM Hospital"
508123,"Sree Surya Hospital"
508119,"Vijetha Hospital"
508111,"Sridevi Eye Hospital"
508107,"Singari ENT Hospital and Research Centre"
508105,"Sibar Cancer Hospital"
508103,"Saumya Hospital"
508101,"Sai Swetha Mother & Child Hospital"
508099,"Rich Hospital (Dr. Ramarao,s Institute of Child Health)"
508097,"Ramana Gastro Laparoscopy & Multispeciality Hospital"
508095,"Rainbow Children,s Hospital"
508093,"Pinnameneni Care Hospital"
508091,"Nori Mother and Child Hospital"
508089,"Nagarjuna Hospital Pvt Ltd"
508087,"Mother & Child Hospital and Family Hospital"
508085,"Meenakshi Eye Hospital"
508079,"M.V.S Accident Hospital"
508077,"Help Hospitals"
508067,"CharithaSri Hospitals Ltd"
508065,"Chaitanya Eye Hospital"
508059,"Suresh Hospital"
508055,"Sri Venkateswara Hospital Pvt Ltd"
508053,"Sri Ramadevi Multi Super Speciality Hospital"
508051,"Raghavendra Super Speciality Hospital"
508049,"Radha Narayan Hospital for Women & Children"
508047,"Prasanth Hospital"
508045,"Sri Vignesh Hospital"
508039,"Sai Teja Multi Specialty Hospital"
508035,"Health Hospitals"
508031,"Vamsi Hi-Tech Superspeciality Hospital & Research Institute (P) Ltd."
508029,"Sudha Hospital"
508021,"Sri Chaitanya Orthopaedic Hospital"
508019,"Sai Swetha Hospital"
508015,"Sri Veja Hospital"
508009,"Vijaya Harsha Mother & child Hospital"
508007,"St. Ann,s Hospital"
508001,"Sivadurga Vishnupriya Hospital"
507999,"Satya Sai Day & Night Hospital"
507995,"Sanjeevini Hospital"
507991,"Arunodaya Hospital"
507987,"Srujan Children Hospital"
507983,"Dr. Purnachander Memorial Hospital"
507975,"Yashoda Hospital (Sec-Bad)"
507973,"Vijaya Hospital"
507967,"Srinivasa Hospital"
507963,"Soumya Multi Specialty Hospital"
507961,"Sigma Hospital"
507951,"Poulomi Hospitals"
507949,"Pavithra Hospital"
507945,"New Citi Hospital"
507943,"Meena Hospital"
507937,"Harsha Hospital"
507933,"Care Hospital (Sec-bad)"
507931,"Basant Sahney Hospitals"
507929,"Balaji Hospital"
507927,"Apollo Hospital (Sec-bad)"
507925,"Manasa Multi Specialty Hospital"
507913,"Medicare Hospital"
507911,"S.V. Multi Speciality Hospital"
507907,"Vijaya Hospitals"
507905,"Swatantra Hospitals"
507903,"Surya Hospital"
507901,"Sri Srinivasa Hospitals"
507899,"SAI Orthopaedics Trauma and General Hospital"
507897,"Raju Neuro & Multi Speciality Hospital"
507885,"Apex Hospitals"
507877,"Kalyana Chakravarthi Hospitals"
507873,"Aswini Ortho Hospital"
507871,"Sri Swarna Hospital"
507867,"Sri Varalakshmi Hospital"
507857,"Sai Ganesh Multi Speciality Hospital"
507855,"Peoples Hospital"
507847,"Sai Bhargavi Eye Hospital & Excimer Centre"
507843,"St. Xavier Hospital"
507837,"GSR Hospital"
507835,"Chandamama Children Hospital"
507829,"Sri Venkateshwara Hospital"
507827,"Sri Chandana Hospitals"
507823,"Seshama Naidu Hospital"
507821,"Rich Hospitals"
507819,"R.S.R Hospital"
507817,"Modern Eye Hospital & Res Cen"
507815,"Bollineni Superspeciality Hospital"
507811,"Bharat Speciality Hospital"
507807,"Greenlands Hospital"
507801,C.S.I.Hospital
507797,"Sri Sai Krishna Multi Speciality Hospital"
507795,"Parijatha Hospital"
507793,"Jyothi Hospital"
507789,"Sri Sai Praja Hospital"
507787,"Nitya Sai Hospital"
507781,"Dr. A. Malleshwara Lingam Hospital"
507779,"Sri Krishna Hospital"
507775,"Varadarajulu Memorial Eye Hospital"
507767,"Viswa Bharathi Super Speciality Hospital"
507765,"Kurnool Hospital Enterprises Ltd"
507763,"Kalyani Hospitals"
507761,"GVR Hospitals"
507759,"Gowri Gopal Hospital Pvt Ltd."
507755,"Ayushman Family Hospital"
507753,"Amma Hospital"
507743,"Kinnera Hospital Pvt Ltd"
507741,"Cure Emergency Hospital"
507739,"Tirumala Hospitals"
507733,"Sreem Remedy Super Speciality Hospital"
507731,"Sivarama Hospitals"
507729,"Siva Rama Hospitals"
507725,"Padmavathi Hospitals"
507723,"Keshava ENT Hospital"
507719,"First Med Hospital"
507717,"Aryan Care & Cure Hospital"
507709,"Siddhartha Hospital"
507705,"Sai Sudha Hospital"
507703,"Raghava 24 Hrs Emergency Hospital"
507701,"Apollo Samudra Hospital"
507697,"Uday Hospital"
507695,"Sri Krishna Sahithi Eye Hospital"
507691,"KCM Hospital"
507687,"K C M Hospital"
507683,"Bharathi Hospital"
507673,"KBR Memorial Hospital"
507671,"Shanghi Hospital"
507665,"Deepthi Eye Hospital"
507663,"Apple Hospital"
507661,"Yashoda Hospital"
507659,"Yashoda Hospital"
507657,"Woodlands Hospital"
507653,"Vivekananda Hospital"
507651,"Vikram Hospitals"
507649,"Vijayasree Hospital"
507641,"Vasavi Hospital"
507631,"Tilaknagar Hospital Pvt Ltd"
507627,"Tanvir Hospital"
507623,"Swaroopa Multi Speciality Hospital"
507621,"SVS Children Hospital"
507613,"Sumana Hospital"
507609,"St.Teresa,s Hospital"
507607,"Sridhar Multi Hospitals"
507603,"Sri Srinivasa Hospital"
507599,"Sri Sairam Hospital"
507597,"Sri Sai Srinivasa Speciality Hospital"
507593,"Sri Laxmi Multi Speciality Hospital and Research , Laproscopic Centre"
507591,"Sri Devi Hospitals"
507587,"Smt. Bhagwan Devi Hospital"
507585,"Sigma Hospital"
507583,"Shreyas Multi Speciality Hospital"
507579,"Shravana Hospital"
507573,"Sathya Kidney Centre & Super Speciality Hospitals"
507571,"Saivani Hospitals Limited"
507569,"Saidurga Multi Hospital"
