"Location ID",Area
500351,"\
\
\
\
Hotel Pine Cliff"
1842,"Near Dhola Maru Government hotel, Near Jaipur Highway"
500069,"Grace Hotel"
2408,"Masonic Lodge [Kulri]"
500193,"Hotel Amrit Residency"
4126,"Opp Hotel Anand"
500115,"Hotel Pallava Dynasty"
4708,"Near Radisson Hotel"
4772,"Candolim, Sinquerim, Near Taj Group of Hotels (North Goa)"
4838,"Adjoining Hotel Man Singh Palace"
4956,"Near Indiranagar Leela Hotel"
5002,"TIRUMALA LANDMARK HOTEL"
5120,"Near Kismet Lodge"
500343,"Hotel Raghav"
5314,"Near Hotel Rajamahal Palace C-Scheme"
500113,"Hotel Madhuram"
5642,"Tourist Lodge Road"
5718,"Near Tamilnadu Hotel"
5826,"Opp Lalit Hotel"
500185,"Nisarg Tourist Hotel"
500111,"Kaveri Hotel"
500237,"Hotel Vijya Residency"
500223,"Hotel SAI Paradise"
9248,"Hotel President"
9250,"Hotel Balwas International"
9254,"Ritz Hotel"
9256,"The Hans Hotel"
9266,"The House of MG - A Metro Heritage Hotel"
9270,"The Cindrella Hotel"
9272,"Hotel President"
9274,"Hotel Mount View"
9280,"Best Western Hotel Amrutha Castle"
9282,"Maneland Jungle lodge"
9284,"Hotel Basant Residency"
9288,"Hotel Classic"
9290,"Hotel Nalapad"
9292,"Hotel Luciya International"
9296,"Hotel Bangalore Gate"
9298,"Hotel Chalukya"
9300,"Priya Guest House"
9302,"The Atria Hotel"
9304,"Hotel Victoria"
9310,"Hotel Midtown Pritam"
9312,"Hotel Parkway"
9314,"Hotel Gulmohar"
9316,"Hotel Green Park"
9318,"Hotel Apollo"
9322,"Hotel Dasharath"
9330,"Hotel Shompen"
9334,"Hotel Ashirwad"
9336,"Hotel Ashray"
9338,"Hotel Baljees Regency"
9342,"Hotel Jai Maa Inn"
9344,"Hotel Himalay"
9350,"St. Marks Hotel"
9352,"Hotel Samrat International"
9354,"West End Hotel"
9364,"Kalimpong Park Hotel"
9366,"Hotel Kishkinda Heritage Resort"
9368,"Hotel Suhail"
9370,"Hotel Goher"
9372,"Surabhi Hotel"
9374,"Hotel India"
9378,"The Landmark Hotel"
9380,"Grand Continental Hotel"
9382,"Hotel Centre Point Ramdaspeth"
9384,"Yogi Guest House"
9392,"The Maya Hotel"
9394,"Hotel The Galaxy"
9396,"Hotel Express Towers"
9404,"Regal Hotel"
9406,"Hotel Kavery"
9408,"Hotel The Grand Regency"
9410,"Strand Hotel"
