0,1
Vizag,7
"Mount Abu",28
Mumbai,191
Bangalore,110
Mettupalayam,4
Mysore,28
Munnar,54
Gokarna,43
Mantralayam,17
Thekkady,4
Kanpur,2
Almora,16
Pondicherry,43
Orchha,3
Shimla,59
Mayiladuthurai,12
Kancheepuram,17
Gurgaon,8
Solan,4
Kolkata,66
Lonavala,54
Manali,39
Wayanad,15
Visakhapatnam,20
Goa,279
Hyderabad,54
Ahmedabad,29
Matheran,103
Ganapatipule,11
Chennai,99
Puri,138
Mussoorie,13
Jammu,6
Darjeeling,27
Pollachi,12
Jorhat,5
Amritsar,13
Cochin,8
Santiniketan,12
Ooty,43
Masinagudi,6
Delhi,59
Gopalpur,10
Kanyakumari,37
Dharwad,8
Kovalam,6
Malda,2
Coorg,132
Rishikesh,4
Dhanbad,2
Digha,50
Kanha,6
Ravangla,4
Udaipur,29
Shirdi,28
Haridwar,19
Jaipur,26
Gulmarg,4
Alibaug,86
Dwarka,20
Chandigarh,11
Jambughoda,10
Velankanni,8
Agra,54
Yercaud,23
Thane,21
Kalimpong,4
Coimbatore,10
Varanasi,12
Panvel,15
Bhavnagar,5
Saputara,41
Mcleodganj,8
Koraput,2
Kodaikanal,19
Guwahati,18
Asansol,6
Rameswaram,43
Ranchi,3
Allahabad,115
Gaya,2
Gangtok,38
Sangla,2
Badami,4
Salem,8
Trivandrum,6
Kollur,17
Satara,4
Dimapur,6
Tirupati,39
Chikmagalur,9
Daman,16
Adoni,1
Tuljapur,8
Diveagar,19
Barmer,1
Chidambaram,3
"Havelock Island",11
Kozhikode,11
Lataguri,5
Chandipur,3
Anand,7
Kumarakom,4
Kufri,7
Tinsukia,1
Pune,45
Shillong,16
Murudeshwar,17
Dausa,11
Amravati,5
Junagadh,2
"Port Blair",11
Jagdalpur,2
Nashik,11
Dindigul,4
Alwar,5
Chandrapur,3
Solapur,8
Ranakpur,3
Ranikhet,4
"New Delhi",10
Patna,5
Harihareshwar,9
"Leh Ladakh",2
Khajjiar,4
Rewa,2
Konark,4
Raichur,6
Rajgir,7
Nagercoil,2
Thanjavur,5
Ujjain,7
Itanagar,5
Kolar,1
Patiala,1
"Kolli Hills",2
Jalgaon,2
Diu,21
Alappuzha,14
Mahabalipuram,6
Cuddalore,5
Chittoor,3
Jodhpur,7
Madurai,25
Katihar,3
Bidar,4
Kolhapur,14
Mahabaleshwar,43
Ongole,3
Kumbakonam,10
Faridabad,3
Kasauli,5
Dehradun,15
Pelling,7
Yelagiri,7
Vellore,17
Srikakulam,2
Malvan,10
Ernakulam,11
Udupi,18
Dalhousie,21
Ambikapur,2
Vijayawada,16
Rourkela,5
" Pathanamthitta",1
Nanded,6
Alleppey,6
Kohima,1
Manipal,10
Tiruvannamalai,3
Thrissur,6
Athirapally,16
Palakkad,4
Gulbarga,10
Panchgani,7
Bijapur,7
Bareilly,2
Gwalior,2
Khandala,7
Nainital,21
Surat,14
Krishnagiri,1
Davangere,5
Bhimtal,1
Bandhavgarh,3
Mukteshwar,3
Sringeri,9
Valparai,5
Srirangapatna,2
Omkareshwar,3
Burdwan,1
Kannur,6
Karur,1
Lucknow,11
" Tarapith",1
Bhopal,9
Pachmarhi,17
"Ahmedpur Mandvi",1
Mandi,2
Katra,20
Tirupur,5
Igatpuri,12
Murud,16
Badrinath,2
Karimnagar,3
Bhadrachalam,3
Hampi,5
Karkala,1
Ayodhya,10
Dahanu,8
Silvassa,9
"Jog Falls",2
Nahan,2
Harnai,2
Gandhidham,2
Balasore,2
"Yamuna Nagar",2
Vengurla,5
Ajmer,13
Varkala,3
Bhilai,3
Coonoor,2
Malpe,2
Guruvayur,19
Aligarh,5
Sakleshpur,10
Tiruchendur,5
Sagar,8
Palani,7
Bhuj,9
